hour_of_day,day,row,col,demand
3,1,3,3,145
3,1,3,4,96
3,1,3,5,118
3,1,3,7,191
3,1,4,0,0
3,1,4,1,3
3,1,4,2,0
3,1,4,3,44
3,1,4,4,71
3,1,4,5,202
3,1,4,6,14
3,1,5,0,0
3,1,5,3,33
3,1,5,6,51
3,1,5,7,44
3,1,6,0,0
3,1,6,2,0
3,1,6,3,0
3,1,6,4,77
3,1,7,0,0
3,1,7,1,0
3,1,7,3,5
3,1,7,4,3
4,1,0,3,642
4,1,0,4,570
4,1,0,5,363
4,1,0,6,196
4,1,0,7,153
4,1,1,0,0
4,1,1,2,352
4,1,1,3,415
4,1,1,4,426
4,1,1,6,101
4,1,1,7,377
4,1,2,1,0
4,1,2,6,210
4,1,3,0,3
4,1,3,1,5
4,1,3,3,177
4,1,3,4,208
4,1,3,5,254
4,1,3,6,155
4,1,4,1,11
4,1,4,2,0
4,1,4,3,65
4,1,4,4,147
4,1,4,5,174
4,1,4,6,58
4,1,5,0,0
4,1,5,1,3
4,1,5,3,5
4,1,5,4,11
4,1,6,1,0
4,1,6,2,0
4,1,6,3,3
4,1,6,4,0
4,1,6,6,147
4,1,7,0,0
4,1,7,3,3
4,1,7,4,0
4,1,7,5,3
4,1,7,6,3
4,1,7,7,8
5,1,0,1,0
5,1,0,3,502
5,1,0,4,188
5,1,0,5,306
5,1,0,6,208
5,1,1,0,0
5,1,1,1,0
5,1,1,7,150
5,1,2,2,44
5,1,2,4,483
5,1,2,5,263
5,1,2,6,133
5,1,3,0,0
5,1,3,1,5
5,1,3,3,77
5,1,3,4,77
5,1,3,5,164
5,1,3,6,90
5,1,3,7,55
5,1,4,0,5
5,1,4,3,46
5,1,4,4,44
5,1,4,5,68
5,1,4,6,137
5,1,5,0,0
5,1,5,1,0
5,1,5,2,0
5,1,5,4,24
5,1,5,7,17
5,1,6,3,3
5,1,6,6,11
5,1,7,2,0
5,1,7,3,17
5,1,7,7,0
6,1,0,0,14
6,1,0,1,0
6,1,0,4,65
6,1,0,5,331
6,1,1,1,0
6,1,1,5,276
6,1,1,6,60
6,1,1,7,114
6,1,2,1,0
6,1,2,2,30
6,1,2,3,194
6,1,2,6,126
6,1,3,1,19
6,1,3,2,3
6,1,3,3,85
6,1,4,1,33
6,1,4,2,0
6,1,4,4,85
6,1,4,5,44
6,1,4,6,33
6,1,6,0,0
6,1,6,1,0
6,1,6,2,0
6,1,6,3,0
6,1,6,5,8
6,1,6,6,0
6,1,7,2,0
6,1,7,3,0
6,1,7,7,0
7,1,0,2,90
7,1,0,5,259
7,1,0,6,85
7,1,0,7,213
7,1,1,1,5
7,1,1,2,24
7,1,1,3,118
7,1,1,4,96
7,1,1,5,263
7,1,2,0,0
7,1,2,5,123
7,1,2,6,159
7,1,3,1,5
7,1,3,2,11
7,1,3,3,90
7,1,3,4,147
7,1,3,5,38
7,1,3,6,101
7,1,3,7,186
7,1,4,0,0
7,1,4,4,82
7,1,5,0,0
7,1,5,1,0
7,1,5,5,17
7,1,6,0,0
7,1,6,2,0
7,1,6,3,0
7,1,6,6,22
7,1,6,7,181
7,1,7,1,0
7,1,7,2,0
7,1,7,3,3
7,1,7,6,41
7,1,7,7,5
8,1,0,0,14
8,1,0,1,14
8,1,0,2,24
8,1,0,3,164
8,1,0,4,104
8,1,0,5,92
8,1,0,6,99
8,1,0,7,101
8,1,1,0,0
8,1,1,3,109
8,1,1,5,58
8,1,2,1,0
8,1,2,2,55
8,1,2,3,58
8,1,2,4,55
8,1,2,5,99
8,1,2,6,147
8,1,2,7,131
8,1,3,0,0
8,1,3,1,19
8,1,3,2,24
8,1,3,3,19
8,1,3,4,33
8,1,3,6,41
8,1,3,7,30
8,1,4,0,0
8,1,4,3,181
8,1,4,4,44
8,1,4,5,60
8,1,4,6,44
8,1,5,1,3
8,1,5,3,0
8,1,5,4,0
8,1,6,0,0
8,1,6,1,0
8,1,6,2,0
8,1,6,3,147
8,1,6,5,22
8,1,6,6,3
8,1,6,7,46
8,1,7,1,0
8,1,7,3,5
8,1,7,5,8
8,1,7,7,0
9,1,0,1,8
9,1,0,3,60
9,1,0,4,104
9,1,0,5,150
9,1,0,6,164
9,1,0,7,118
9,1,1,0,0
9,1,1,1,3
9,1,1,4,14
9,1,1,5,153
9,1,1,6,249
9,1,2,1,0
9,1,2,3,183
9,1,2,5,101
9,1,2,6,150
9,1,3,0,0
9,1,3,2,5
9,1,3,3,44
9,1,3,6,49
9,1,3,7,90
9,1,4,0,0
9,1,4,1,5
9,1,4,2,0
9,1,4,3,17
9,1,4,4,19
9,1,4,5,87
9,1,4,7,51
9,1,5,0,0
9,1,5,3,0
9,1,5,5,51
9,1,5,6,46
9,1,5,7,5
9,1,6,3,3
9,1,6,4,5
9,1,6,5,104
9,1,7,0,0
9,1,7,1,0
9,1,7,3,11
9,1,7,5,11
9,1,7,6,3
9,1,7,7,3
10,1,0,0,14
10,1,0,1,19
10,1,0,2,68
10,1,0,3,155
10,1,1,0,0
10,1,1,1,14
10,1,1,2,46
10,1,1,4,19
10,1,1,5,218
10,1,1,6,213
10,1,1,7,114
10,1,2,0,0
10,1,2,2,17
10,1,2,5,213
10,1,2,6,200
10,1,3,1,0
10,1,3,4,55
10,1,3,5,213
10,1,4,0,0
10,1,4,1,17
10,1,4,2,0
10,1,4,3,27
10,1,4,4,24
10,1,4,6,79
10,1,5,1,5
10,1,5,2,3
10,1,5,5,126
10,1,6,0,0
10,1,6,1,0
10,1,6,5,22
10,1,6,6,0
10,1,6,7,3
10,1,7,0,0
10,1,7,1,0
10,1,7,4,11
10,1,7,5,24
10,1,7,6,3
10,1,7,7,5
11,1,0,3,41
11,1,0,5,213
11,1,1,2,36
11,1,1,3,79
11,1,1,5,276
11,1,2,0,0
11,1,2,1,11
11,1,2,2,22
11,1,2,6,660
11,1,3,1,5
11,1,3,2,11
11,1,3,3,49
11,1,3,6,454
11,1,3,7,63
11,1,4,2,3
11,1,4,4,30
11,1,4,5,87
11,1,5,1,0
11,1,5,2,5
11,1,5,3,8
11,1,5,6,194
11,1,6,0,0
11,1,6,1,0
11,1,6,2,0
11,1,6,3,0
11,1,6,4,0
11,1,6,5,14
11,1,6,7,5
11,1,7,2,0
11,1,7,7,3
12,1,0,0,3
12,1,0,1,30
12,1,0,3,85
12,1,0,6,565
12,1,0,7,161
12,1,1,0,5
12,1,1,1,5
12,1,1,2,120
12,1,1,3,55
12,1,1,4,150
12,1,1,5,522
12,1,1,6,865
12,1,2,1,3
12,1,2,2,27
12,1,2,3,87
12,1,2,4,74
12,1,2,5,434
12,1,2,6,1491
12,1,2,7,140
12,1,3,0,3
12,1,3,1,0
12,1,3,4,77
12,1,4,3,77
12,1,4,5,276
12,1,4,7,33
12,1,5,0,0
12,1,5,1,3
12,1,5,3,0
12,1,5,5,104
12,1,5,6,360
12,1,6,1,0
12,1,6,2,0
12,1,6,4,17
12,1,6,5,164
12,1,7,0,0
12,1,7,1,0
12,1,7,2,0
12,1,7,3,5
12,1,7,4,0
12,1,7,5,33
12,1,7,6,74
13,1,0,1,17
13,1,0,2,30
13,1,0,3,140
13,1,0,4,270
13,1,0,5,642
13,1,0,6,1201
13,1,1,0,0
13,1,1,1,0
13,1,1,4,51
13,1,2,1,5
13,1,2,2,58
13,1,2,5,418
13,1,2,6,1838
13,1,3,6,865
13,1,4,2,0
13,1,4,3,24
13,1,4,4,41
13,1,4,7,22
13,1,5,0,0
13,1,5,1,0
13,1,5,2,5
13,1,5,4,22
13,1,5,5,194
13,1,5,6,374
13,1,5,7,11
13,1,6,2,14
13,1,6,5,17
13,1,6,6,68
13,1,7,0,0
13,1,7,1,0
13,1,7,3,0
13,1,7,4,8
14,1,0,3,104
14,1,0,7,393
14,1,1,0,0
14,1,1,1,14
14,1,1,2,38
14,1,1,4,38
14,1,1,6,1712
14,1,1,7,557
14,1,2,0,3
14,1,2,1,0
14,1,2,3,123
14,1,2,4,63
14,1,2,5,959
14,1,2,7,306
14,1,3,1,5
14,1,3,2,5
14,1,3,3,41
14,1,3,4,145
14,1,3,5,604
14,1,4,0,0
14,1,4,1,24
14,1,4,2,0
14,1,4,4,24
14,1,4,5,268
14,1,4,6,579
14,1,4,7,60
14,1,5,1,0
14,1,5,2,3
14,1,5,4,33
14,1,5,6,194
14,1,6,5,36
14,1,7,0,0
14,1,7,2,0
14,1,7,6,85
14,1,7,7,36
15,1,0,0,11
15,1,0,1,11
15,1,0,5,120
15,1,0,6,401
15,1,0,7,333
15,1,1,0,0
15,1,1,2,24
15,1,1,3,38
15,1,1,4,65
15,1,1,5,145
15,1,1,6,734
15,1,1,7,153
15,1,2,0,0
15,1,2,2,27
15,1,2,3,123
15,1,2,4,22
15,1,2,5,150
15,1,2,6,454
15,1,3,0,3
15,1,3,2,3
15,1,3,4,51
15,1,3,6,265
15,1,3,7,8
15,1,4,1,8
15,1,4,2,5
15,1,4,3,11
15,1,4,5,77
15,1,4,6,249
15,1,4,7,17
15,1,5,1,3
15,1,5,3,3
15,1,5,4,14
15,1,5,5,36
15,1,5,6,71
15,1,5,7,19
15,1,6,0,0
15,1,6,1,0
15,1,6,3,5
15,1,6,5,11
15,1,6,6,5
15,1,6,7,8
15,1,7,1,0
15,1,7,5,11
15,1,7,6,5
16,1,0,0,3
16,1,0,3,30
16,1,0,4,44
16,1,0,5,126
16,1,0,6,177
16,1,1,0,0
16,1,1,2,14
16,1,1,3,36
16,1,1,5,71
16,1,1,6,131
16,1,2,0,0
16,1,2,2,14
16,1,2,3,106
16,1,2,5,71
16,1,2,7,51
16,1,3,2,11
16,1,3,4,46
16,1,3,6,114
16,1,3,7,22
16,1,4,0,0
16,1,4,3,51
16,1,4,4,36
16,1,4,7,8
16,1,5,2,5
16,1,5,4,8
16,1,5,5,46
16,1,5,7,22
16,1,6,0,0
16,1,6,1,0
16,1,6,2,11
16,1,6,3,5
16,1,6,4,8
16,1,6,7,8
16,1,7,0,0
16,1,7,1,0
16,1,7,4,5
16,1,7,6,11
16,1,7,7,11
17,1,0,1,5
17,1,0,2,22
17,1,0,5,44
17,1,0,6,49
17,1,1,0,0
17,1,1,1,19
17,1,1,2,19
17,1,1,3,44
17,1,1,5,22
17,1,1,6,46
17,1,1,7,22
17,1,2,0,0
17,1,2,1,0
17,1,2,2,11
17,1,2,4,30
17,1,2,5,33
17,1,2,6,55
17,1,3,2,11
17,1,3,3,8
17,1,3,4,0
17,1,3,5,82
17,1,3,6,49
17,1,3,7,30
17,1,4,0,14
17,1,4,2,0
17,1,4,3,24
17,1,4,6,36
17,1,5,0,0
17,1,5,1,0
17,1,5,4,8
17,1,5,6,17
17,1,6,0,0
17,1,6,1,0
17,1,6,2,0
17,1,6,4,0
17,1,6,6,0
17,1,7,3,0
17,1,7,6,0
17,1,7,7,5
18,1,0,0,11
18,1,0,2,23
18,1,0,3,40
18,1,0,4,6
18,1,0,5,25
18,1,0,6,25
18,1,0,7,43
18,1,1,1,3
18,1,1,2,14
18,1,1,3,14
18,1,1,5,34
18,1,2,0,0
18,1,2,1,3
18,1,2,2,14
18,1,2,5,11
18,1,2,6,34
18,1,2,7,14
18,1,3,0,0
18,1,3,3,32
18,1,3,4,25
18,1,3,6,40
18,1,4,1,9
18,1,4,2,0
18,1,4,5,32
18,1,4,6,32
18,1,4,7,9
18,1,5,0,0
18,1,5,4,18
18,1,5,5,18
18,1,5,6,6
18,1,5,7,6
18,1,6,1,3
18,1,6,2,0
18,1,6,4,3
18,1,6,5,11
18,1,6,6,0
18,1,6,7,18
18,1,7,0,0
18,1,7,1,0
18,1,7,2,0
18,1,7,5,0
18,1,7,6,3
18,1,7,7,3
19,1,0,0,3
19,1,0,1,0
19,1,0,2,9
19,1,0,3,20
19,1,0,5,18
19,1,1,0,0
19,1,1,1,0
19,1,1,3,34
19,1,1,4,3
19,1,1,5,18
19,1,1,6,3
19,1,1,7,20
19,1,2,2,9
19,1,2,3,9
19,1,2,5,14
19,1,3,0,6
19,1,3,1,6
19,1,3,3,23
19,1,3,4,32
19,1,3,6,40
19,1,3,7,11
19,1,4,0,0
19,1,4,3,80
19,1,4,4,40
19,1,4,6,23
19,1,4,7,6
19,1,5,1,0
19,1,5,2,3
19,1,5,5,14
19,1,5,6,3
19,1,6,4,9
19,1,6,5,14
19,1,6,6,11
19,1,7,3,0
19,1,7,4,0
19,1,7,5,3
19,1,7,7,0
20,1,0,0,0
20,1,0,3,0
20,1,0,4,6
20,1,0,5,9
20,1,0,6,11
20,1,0,7,14
20,1,1,4,3
20,1,1,5,14
20,1,1,6,3
20,1,2,0,0
20,1,2,3,9
20,1,2,6,23
20,1,2,7,20
20,1,3,1,0
20,1,3,2,0
20,1,3,7,3
20,1,4,0,0
20,1,4,3,49
20,1,4,7,9
20,1,5,0,0
20,1,5,4,0
20,1,5,6,0
20,1,5,7,0
20,1,6,1,0
20,1,6,3,3
20,1,6,4,0
20,1,6,5,14
20,1,6,6,0
20,1,7,0,0
20,1,7,2,0
20,1,7,4,0
20,1,7,7,0
21,1,0,0,0
21,1,0,3,0
21,1,0,5,3
21,1,1,0,0
21,1,1,1,0
21,1,1,2,6
21,1,1,3,9
21,1,1,4,3
21,1,1,6,3
21,1,1,7,3
21,1,2,3,9
21,1,2,6,0
21,1,3,1,0
21,1,3,2,3
21,1,3,7,0
21,1,4,1,0
21,1,4,3,37
21,1,4,4,6
21,1,4,6,0
21,1,4,7,0
21,1,5,0,0
21,1,5,1,0
21,1,5,3,0
21,1,5,5,0
21,1,5,6,0
21,1,6,3,0
21,1,6,4,0
21,1,6,6,3
21,1,6,7,3
21,1,7,2,0
21,1,7,3,0
21,1,7,5,3
21,1,7,6,0
22,1,0,1,0
22,1,0,2,9
22,1,0,6,9
22,1,0,7,0
22,1,1,0,0
22,1,1,1,0
22,1,1,3,3
22,1,1,5,6
22,1,1,6,0
22,1,2,1,0
22,1,2,3,0
22,1,2,4,3
22,1,2,5,0
22,1,2,6,3
22,1,2,7,6
22,1,3,0,20
22,1,3,1,3
22,1,3,2,0
22,1,3,5,0
22,1,3,6,0
22,1,3,7,0
22,1,4,1,3
22,1,4,2,0
22,1,4,5,0
22,1,4,7,0
22,1,5,0,0
22,1,5,1,0
22,1,5,2,6
22,1,5,3,0
22,1,5,4,0
22,1,5,5,0
22,1,6,0,0
22,1,6,4,0
22,1,6,5,0
22,1,6,6,0
22,1,7,0,0
22,1,7,2,0
22,1,7,4,3
22,1,7,5,0
22,1,7,6,0
22,1,7,7,0
23,1,0,0,0
23,1,0,1,0
23,1,0,2,0
23,1,0,5,0
23,1,0,6,0
23,1,0,7,9
23,1,1,1,0
23,1,1,2,0
23,1,1,6,0
23,1,2,2,3
23,1,2,3,0
23,1,2,6,0
23,1,2,7,6
23,1,3,1,37
23,1,3,2,9
23,1,3,4,0
23,1,4,0,0
23,1,4,3,37
23,1,4,5,0
23,1,4,6,0
23,1,5,0,0
23,1,5,3,0
23,1,5,4,9
23,1,5,5,0
23,1,5,6,0
23,1,6,0,0
23,1,6,1,0
23,1,6,3,0
23,1,6,4,0
23,1,6,5,3
23,1,6,6,0
23,1,6,7,0
23,1,7,0,0
23,1,7,1,0
23,1,7,3,0
23,1,7,6,0
23,1,7,7,0
0,2,0,2,0
0,2,0,3,0
0,2,0,7,3
0,2,1,3,3
0,2,1,4,0
0,2,1,5,0
0,2,1,6,3
0,2,2,1,0
0,2,2,2,0
0,2,2,3,6
0,2,2,4,9
0,2,2,5,0
0,2,2,7,3
0,2,3,0,0
0,2,3,3,11
0,2,3,4,3
0,2,4,0,0
0,2,4,1,0
0,2,4,2,0
0,2,4,5,3
0,2,4,6,0
0,2,5,2,0
0,2,5,3,0
0,2,5,4,0
0,2,5,5,0
0,2,5,6,0
0,2,6,0,0
0,2,6,3,0
0,2,6,5,0
0,2,6,6,3
0,2,7,0,0
0,2,7,1,0
0,2,7,3,0
0,2,7,4,0
0,2,7,5,0
0,2,7,6,0
1,2,0,2,0
1,2,0,3,0
1,2,0,5,3
1,2,1,0,0
1,2,1,3,3
1,2,1,4,0
1,2,1,7,0
1,2,2,1,0
1,2,2,3,0
1,2,2,5,6
1,2,2,6,3
1,2,3,0,3
1,2,3,1,6
1,2,3,2,0
1,2,3,3,9
1,2,3,4,0
1,2,3,6,6
1,2,3,7,0
1,2,4,0,0
1,2,4,2,0
1,2,4,4,9
1,2,4,5,0
1,2,4,7,3
1,2,5,0,0
1,2,5,1,0
1,2,5,6,0
1,2,6,1,0
1,2,6,3,0
1,2,6,4,3
1,2,6,5,0
1,2,6,6,0
1,2,6,7,0
1,2,7,3,0
1,2,7,5,0
1,2,7,6,3
2,2,0,0,6
2,2,0,1,3
2,2,0,2,29
2,2,0,5,20
2,2,0,6,20
2,2,0,7,49
2,2,1,0,25
2,2,1,3,32
2,2,1,5,115
2,2,2,1,6
2,2,2,2,49
2,2,2,6,32
2,2,2,7,18
2,2,3,0,0
2,2,3,2,0
2,2,3,4,9
2,2,3,5,86
2,2,3,7,6
2,2,4,0,0
2,2,4,1,9
2,2,4,2,0
2,2,4,3,0
2,2,4,6,3
2,2,5,2,0
2,2,5,3,3
2,2,5,5,18
2,2,5,6,14
2,2,6,0,0
2,2,6,5,9
2,2,6,6,0
2,2,7,0,0
2,2,7,1,0
2,2,7,2,0
2,2,7,6,29
2,2,7,7,0
3,2,0,0,37
3,2,0,1,14
3,2,0,2,147
3,2,0,3,797
3,2,0,4,278
3,2,0,5,143
3,2,1,0,0
3,2,1,4,301
3,2,2,0,3
3,2,2,1,0
3,2,2,4,326
3,2,2,5,639
3,2,2,6,221
3,2,2,7,218
3,2,3,1,52
3,2,3,2,89
3,2,3,6,123
3,2,3,7,100
3,2,4,0,0
3,2,4,1,80
3,2,4,2,0
3,2,4,4,298
3,2,5,0,0
3,2,5,1,0
3,2,5,3,14
3,2,5,4,49
3,2,5,5,25
3,2,5,7,158
3,2,6,1,0
3,2,6,3,0
3,2,6,4,29
3,2,6,6,0
3,2,6,7,32
3,2,7,1,0
3,2,7,4,83
3,2,7,7,46
4,2,0,0,23
4,2,0,3,387
4,2,0,4,421
4,2,0,5,229
4,2,0,7,444
4,2,1,0,32
4,2,1,4,249
4,2,1,7,923
4,2,2,0,0
4,2,2,4,674
4,2,3,0,0
4,2,3,3,181
4,2,3,5,269
4,2,3,7,149
4,2,4,0,3
4,2,4,1,18
4,2,4,3,46
4,2,5,1,0
4,2,5,3,14
4,2,5,4,218
4,2,5,6,6
4,2,5,7,115
4,2,6,0,0
4,2,6,1,0
4,2,6,2,0
4,2,6,3,3
4,2,6,4,49
4,2,6,7,120
4,2,7,0,0
4,2,7,1,0
4,2,7,2,0
4,2,7,5,6
4,2,7,6,34
4,2,7,7,32
5,2,0,1,9
5,2,0,2,77
5,2,0,4,181
5,2,0,5,593
5,2,1,0,0
5,2,1,2,80
5,2,1,3,326
5,2,1,4,135
5,2,1,5,708
5,2,1,6,433
5,2,2,0,0
5,2,2,1,9
5,2,2,2,319
5,2,2,4,435
5,2,2,6,441
5,2,2,7,226
5,2,3,1,23
5,2,3,2,3
5,2,3,5,158
5,2,3,6,221
5,2,3,7,221
5,2,4,0,3
5,2,4,1,6
5,2,4,2,9
5,2,4,3,52
5,2,4,6,54
5,2,5,1,0
5,2,5,3,11
5,2,5,4,32
5,2,5,5,195
5,2,5,7,75
5,2,6,0,0
5,2,6,2,0
5,2,6,3,34
5,2,6,5,123
5,2,6,7,9
5,2,7,0,0
5,2,7,1,0
5,2,7,3,0
5,2,7,4,0
5,2,7,5,0
5,2,7,7,9
6,2,0,0,11
6,2,0,1,9
6,2,0,2,57
6,2,0,3,195
6,2,0,7,424
6,2,1,0,11
6,2,1,1,52
6,2,1,2,52
6,2,1,3,252
6,2,2,0,0
6,2,2,3,315
6,2,2,4,149
6,2,2,5,178
6,2,2,7,261
6,2,3,0,0
6,2,3,1,3
6,2,3,2,6
6,2,3,5,140
6,2,3,7,226
6,2,4,1,11
6,2,4,4,75
6,2,4,7,161
6,2,5,3,14
6,2,5,4,9
6,2,5,5,118
6,2,5,6,72
6,2,5,7,49
6,2,6,2,0
6,2,6,4,18
6,2,6,6,3
6,2,7,0,0
6,2,7,1,0
6,2,7,3,0
6,2,7,4,0
6,2,7,6,11
7,2,0,1,9
7,2,0,2,138
7,2,0,3,178
7,2,0,4,212
7,2,0,6,163
7,2,0,7,238
7,2,1,6,233
7,2,1,7,263
7,2,2,0,0
7,2,2,2,97
7,2,2,4,66
7,2,2,5,172
7,2,2,6,161
7,2,2,7,298
7,2,3,0,0
7,2,3,1,6
7,2,3,2,11
7,2,3,4,23
7,2,3,5,61
7,2,3,6,72
7,2,4,5,169
7,2,4,7,34
7,2,5,1,0
7,2,5,3,11
7,2,5,6,32
7,2,6,0,0
7,2,6,1,0
7,2,6,2,9
7,2,6,3,9
7,2,6,4,3
7,2,6,5,6
7,2,6,6,57
7,2,6,7,106
7,2,7,0,0
7,2,7,1,0
