time,row,col,demand
74,1,0,0
259,3,3,36
680,6,6,0
119,7,6,0
62,0,3,94
249,1,6,14
478,6,5,13
584,4,0,0
132,3,5,70
433,7,0,0
87,4,5,162
133,1,7,115
619,6,4,57
221,6,2,0
210,7,7,5
291,0,2,0
407,5,3,11
29,4,6,0
316,4,7,20
581,2,0,0
527,5,5,143
174,3,2,0
123,2,4,17
188,2,6,53
596,1,4,71
135,0,7,146
40,1,7,315
206,4,0,0
566,5,5,26
571,2,7,110
192,0,3,33
403,7,7,30
413,7,4,7
591,7,1,0
14,0,7,101
428,1,0,0
712,1,1,0
644,3,4,37
190,1,4,53
217,3,5,50
63,3,7,90
601,0,4,110
192,0,6,33
183,2,4,15
152,7,2,0
459,3,1,13
638,6,4,0
529,0,5,65
671,2,0,0
565,2,1,0
190,5,4,0
337,7,3,21
287,3,0,0
641,1,4,37
119,3,5,46
160,2,3,121
325,3,1,42
36,5,3,14
582,2,3,27
273,0,1,0
271,1,1,0
247,2,5,9
188,5,4,15
462,5,7,13
35,0,2,77
303,4,0,0
527,4,1,9
274,2,0,0
249,3,1,0
586,2,1,0
593,7,6,17
550,7,1,0
713,5,5,22
566,6,3,10
307,4,4,43
353,4,3,17
375,5,0,7
247,2,0,0
623,1,7,103
140,3,7,66
157,1,3,48
378,4,0,0
395,1,5,41
531,3,5,215
443,0,3,13
208,2,1,0
442,5,2,0
723,6,7,23
410,3,7,51
662,1,6,133
238,3,2,0
470,0,3,289
348,1,3,162
76,0,4,0
398,0,6,89
731,7,7,14
65,3,0,0
452,7,5,8
623,3,2,0
269,7,7,0
590,4,0,0
54,1,4,0
173,1,0,0
329,4,2,10
611,0,6,18
14,2,3,58
628,7,0,0
309,7,5,6
35,2,4,435
334,5,7,42
316,0,6,87
119,4,0,4
619,5,5,110
698,2,7,99
229,3,5,8
438,0,4,20
95,0,7,47
294,6,5,15
174,4,3,7
507,7,2,0
449,3,2,20
272,3,7,14
57,0,3,271
597,2,7,132
6,0,2,0
36,3,2,6
27,1,7,3
590,2,7,247
84,4,2,28
697,4,7,99
130,6,3,0
67,5,6,508
409,1,3,270
442,3,3,0
609,1,5,0
680,2,0,0
322,0,2,0
388,3,0,0
168,6,1,0
84,3,6,344
105,1,4,6
161,6,2,0
138,3,7,76
456,3,5,151
230,2,6,26
73,7,0,0
592,7,4,0
478,3,6,801
711,4,4,0
685,5,2,0
188,3,3,24
421,1,0,0
705,7,6,13
619,5,4,103
493,1,5,334
544,0,3,240
299,7,6,264
421,4,4,70
7,1,4,0
35,6,0,0
254,6,4,9
31,6,3,0
484,0,0,8
77,2,1,0
571,5,1,0
559,3,4,10
619,3,6,103
524,5,4,29
545,5,4,25
346,0,6,0
477,5,6,151
102,1,5,6
424,1,0,12
36,6,6,3
697,0,5,238
28,4,7,0
583,3,1,0
248,3,4,0
596,1,3,115
491,6,1,0
377,6,4,68
53,2,2,3
548,4,5,190
297,2,6,0
118,6,0,0
134,7,2,0
398,7,6,11
399,2,1,7
225,0,4,16
201,3,1,0
405,6,6,7
399,0,3,60
96,5,3,0
260,6,3,14
546,3,6,190
125,6,1,0
51,1,1,0
205,3,6,36
705,1,4,78
31,7,6,3
417,3,1,0
531,7,5,15
229,7,6,0
320,3,1,0
700,6,6,43
726,4,7,554
22,6,1,0
31,3,6,6
364,1,7,35
224,6,1,0
688,0,7,140
302,2,4,324
490,4,4,0
509,4,6,29
18,1,1,5
224,0,1,0
128,4,0,0
90,1,7,79
74,2,5,38
667,2,6,396
364,2,1,7
370,6,5,7
647,5,5,116
292,0,5,19
701,4,2,0
307,4,3,83
413,1,0,0
435,7,0,0
280,4,2,47
270,3,0,0
710,1,5,22
240,5,4,0
358,0,0,33
282,7,6,47
701,4,4,99
266,4,5,52
631,4,5,0
350,3,6,87
729,2,0,0
365,6,2,0
564,6,0,0
177,7,0,0
186,5,3,0
119,6,1,0
181,4,2,0
467,7,7,0
128,3,3,251
308,6,7,6
104,4,6,0
252,3,0,0
234,5,2,0
207,1,3,149
509,2,3,0
528,2,7,264
297,2,2,0
91,7,5,22
234,6,0,0
432,3,2,124
275,6,5,38
679,5,1,0
284,2,3,38
624,6,6,78
194,3,0,0
200,2,1,0
267,7,5,14
275,1,2,14
226,5,1,0
216,2,6,80
301,4,1,0
358,0,7,270
199,7,6,0
547,7,0,0
225,1,1,0
527,1,4,61
397,4,4,60
712,3,4,0
687,7,5,0
50,3,7,3
680,2,4,33
136,2,1,0
269,2,4,5
141,6,7,13
707,7,4,13
212,4,2,0
601,6,7,110
251,3,3,22
210,3,6,290
20,1,4,38
527,5,4,38
198,2,3,0
245,0,3,0
333,4,3,109
292,0,2,9
246,5,5,5
664,4,3,31
114,6,7,13
693,3,2,107
656,5,6,0
239,2,0,26
276,3,0,0
278,3,0,0
512,6,5,9
35,7,3,0
333,5,2,0
188,6,7,12
63,7,7,3
727,7,0,0
609,3,2,11
593,7,2,0
433,6,1,25
525,7,2,0
316,7,4,10
116,5,4,10
556,3,1,10
405,5,6,287
680,2,3,0
223,5,6,0
101,3,7,0
219,0,2,5
312,6,4,6
167,2,5,490
175,4,3,4
569,0,7,135
666,0,3,286
398,6,3,11
425,2,3,55
428,3,7,55
193,3,5,56
581,4,4,115
240,2,5,31
336,7,3,17
308,2,6,132
513,1,6,9
152,7,6,0
517,3,0,0
719,2,7,125
291,2,2,0
189,6,5,15
731,0,2,132
122,1,2,17
409,3,1,12
725,6,3,82
273,7,5,0
194,1,1,0
157,7,4,11
135,5,3,0
159,7,4,7
69,4,3,171
472,5,4,21
45,7,1,0
336,0,7,439
115,3,1,10
105,5,3,0
167,2,6,757
508,7,1,0
349,3,7,44
563,7,4,0
79,6,6,0
409,7,5,7
193,4,2,0
248,2,0,0
263,6,4,17
202,3,5,25
351,6,6,0
302,5,2,0
628,6,7,11
73,6,7,16
651,3,0,0
617,0,3,46
423,1,4,82
564,7,7,16
704,5,4,43
91,4,0,0
565,6,5,16
470,7,6,0
88,4,3,16
312,6,3,0
524,4,1,23
617,6,1,0
509,4,7,29
401,3,5,138
65,7,1,0
154,0,3,44
292,4,5,83
515,6,1,0
89,6,0,0
554,5,3,10
563,4,5,10
215,2,6,68
521,3,4,137
235,5,5,34
231,4,2,0
695,2,1,0
511,4,4,0
697,6,0,0
612,5,0,0
555,3,7,74
109,1,0,4
665,2,2,82
58,1,7,451
537,5,5,0
439,7,0,0
477,1,7,138
583,1,5,10
234,7,6,5
146,3,0,0
286,0,4,41
563,0,6,0
145,6,4,11
268,5,3,0
421,7,5,31
88,5,1,0
509,0,4,29
620,1,1,0
155,3,2,11
21,0,5,120
339,6,7,10
165,6,3,32
370,7,0,0
345,4,1,0
731,6,6,177
637,2,2,49
197,3,0,0
94,2,1,0
229,3,0,0
186,0,6,12
271,2,1,0
412,6,0,0
93,5,7,89
612,3,7,11
375,1,0,0
399,6,3,41
61,6,1,0
374,5,2,0
247,7,1,0
312,7,4,0
708,6,2,0
561,0,3,0
358,1,2,37
311,1,7,141
619,7,6,0
296,2,5,6
729,0,6,531
118,6,3,4
536,4,7,0
689,6,4,0
429,3,4,113
690,6,1,0
172,7,5,0
407,5,0,0
591,2,2,78
430,0,0,12
705,4,3,35
221,4,0,0
611,3,2,0
673,7,0,0
581,3,3,34
454,2,7,25
374,6,1,0
312,3,0,0
192,5,4,25
178,2,7,0
610,6,1,0
501,4,1,22
443,7,6,0
96,6,4,10
469,1,4,77
504,0,7,199
601,5,1,0
604,6,4,0
319,5,4,0
71,2,2,12
537,0,5,0
170,2,2,0
645,6,0,0
127,7,4,0
219,6,5,8
420,1,4,0
283,5,6,0
427,2,3,94
286,3,0,0
7,2,4,0
341,3,1,6
69,3,1,3
224,3,7,0
622,0,1,18
553,7,0,0
409,6,2,7
20,1,2,38
256,6,5,14
380,1,0,0
252,7,1,0
539,6,4,0
724,2,6,3717
697,7,4,0
630,2,4,49
463,3,7,8
290,7,3,0
106,3,7,37
378,4,3,22
513,4,2,0
339,4,5,64
522,6,2,9
53,3,1,0
64,4,4,105
133,0,5,163
499,6,3,0
504,2,4,190
247,0,5,0
588,4,5,17
232,4,1,16
668,4,6,345
27,6,3,0
34,1,0,32
576,7,6,0
414,5,0,0
320,6,3,0
423,0,3,39
552,1,2,68
183,5,3,0
148,1,4,0
450,7,5,20
493,2,0,0
348,3,3,44
703,3,0,0
63,5,6,147
289,1,7,30
687,5,4,0
533,0,3,55
403,2,3,41
98,5,5,10
522,5,6,76
548,4,7,135
153,6,2,0
159,1,5,153
246,2,5,0
91,4,7,38
316,0,4,32
173,2,5,27
149,3,4,4
684,2,6,12
291,0,4,0
101,7,0,0
510,0,5,15
539,3,0,0
606,4,2,0
300,0,4,19
225,2,2,0
542,3,4,104
333,0,4,200
49,4,7,19
220,1,4,5
236,0,6,34
136,5,1,0
310,7,0,0
624,5,0,0
725,2,4,272
38,3,1,6
446,3,4,25
464,2,3,0
1,5,5,3
121,4,7,31
424,2,2,39
478,0,5,165
146,6,7,0
423,7,4,0
350,2,3,91
725,7,4,23
157,1,6,114
113,3,6,46
525,2,7,129
657,6,2,0
245,0,2,5
93,5,3,28
565,5,7,58
465,3,0,0
333,4,4,61
545,5,1,0
411,0,5,101
271,7,7,0
488,6,3,0
139,1,0,0
193,5,6,5
454,5,7,53
374,5,7,120
326,5,7,32
554,1,7,94
151,0,3,0
471,4,6,34
652,7,5,20
363,3,0,0
42,5,0,3
299,6,4,6
602,1,6,196
665,7,1,0
232,1,5,26
55,6,0,0
457,2,2,27
227,1,6,5
255,6,2,0
484,0,5,72
531,6,0,0
342,5,7,6
306,2,1,0
716,5,1,0
597,3,4,105
252,3,3,36
306,3,3,79
373,0,3,330
359,5,3,17
293,5,7,19
4,6,6,0
369,5,6,0
319,1,6,0
87,5,0,10
120,1,0,0
693,6,1,0
270,1,3,0
258,0,3,31
303,2,3,123
700,6,2,0
380,1,4,107
219,2,3,8
323,2,2,6
524,6,0,0
591,7,4,10
615,5,3,11
436,7,3,8
488,3,3,0
285,7,2,0
541,4,7,31
696,3,3,78
594,5,1,0
295,5,4,0
55,6,5,3
422,4,0,0
236,6,6,5
566,3,1,0
41,1,3,178
635,0,7,0
85,4,0,4
379,4,1,0
160,6,6,55
622,0,3,64
201,0,2,0
387,0,5,119
315,2,7,16
455,3,4,111
196,2,2,5
492,7,0,0
544,5,5,65
199,2,6,0
270,1,7,14
100,6,4,0
686,1,5,0
157,4,5,160
251,3,4,106
556,2,3,84
438,2,2,33
307,4,2,0
626,0,0,0
150,2,0,0
336,2,7,71
55,2,6,6
454,6,0,0
692,4,0,0
105,5,2,0
476,2,5,215
681,6,1,0
225,6,5,0
596,5,3,0
131,2,5,143
618,1,4,18
420,7,4,0
623,7,0,0
438,7,6,8
93,6,2,4
154,3,7,69
116,7,0,0
408,5,3,0
509,2,7,38
165,6,2,0
666,7,5,122
63,2,3,96
308,0,4,89
98,2,0,4
689,7,1,0
343,4,2,0
331,3,7,71
723,6,6,141
600,2,5,167
241,7,7,0
323,5,6,0
639,1,1,0
327,7,1,0
569,2,1,10
181,2,7,24
443,1,6,8
480,1,7,131
75,0,7,12
199,1,4,0
254,6,6,31
443,6,0,0
572,4,4,116
419,7,3,0
661,3,3,192
639,4,6,11
333,5,1,0
144,3,1,0
701,0,7,787
112,7,3,0
23,3,5,82
467,2,3,8
490,4,5,14
672,2,1,12
246,6,3,5
398,3,7,11
0,1,5,8
420,4,0,0
630,3,7,30
349,5,5,44
654,1,6,71
731,2,2,154
616,3,2,0
45,3,6,330
307,6,3,6
345,7,6,0
545,3,7,71
549,3,1,9
170,1,6,0
678,5,6,12
244,0,6,17
345,6,2,0
165,1,3,183
36,7,0,0
260,5,6,250
487,7,7,0
58,7,5,0
414,2,1,0
682,0,5,0
713,4,1,0
114,4,1,0
428,0,2,101
515,5,5,0
526,6,3,61
251,4,6,5
547,6,7,9
108,5,1,10
430,1,6,43
206,1,6,36
724,2,3,309
236,4,2,0
390,7,3,0
277,6,7,9
319,6,5,6
195,3,1,0
535,1,6,9
682,7,7,0
93,4,5,136
449,1,2,66
212,3,4,33
640,4,1,11
431,7,1,0
400,5,3,0
487,5,7,0
432,6,7,40
153,1,3,132
461,7,4,0
231,7,5,0
492,3,5,0
30,7,3,0
38,6,7,18
360,6,4,28
178,6,5,0
385,7,0,0
724,5,2,0
117,1,2,50
407,4,2,0
49,0,0,3
103,6,4,0
531,0,3,55
283,5,0,0
248,3,3,5
430,4,5,137
539,6,6,0
12,4,2,0
278,1,3,23
305,6,0,0
270,0,3,0
645,7,7,0
699,3,3,99
440,3,5,20
14,0,0,14
701,7,7,0
571,3,4,194
15,4,2,0
539,0,5,0
360,2,6,1242
536,5,0,0
18,0,6,565
328,0,1,46
292,2,2,64
563,7,6,10
266,2,1,0
556,3,3,42
128,1,7,13
705,5,7,43
117,3,6,50
279,4,7,23
618,3,7,36
69,1,0,0
398,1,5,179
523,2,2,29
50,2,0,0
116,0,0,10
350,1,7,75
219,6,4,0
620,3,6,121
197,4,2,0
201,2,0,0
412,4,1,24
193,3,1,0
395,2,2,11
538,1,1,0
65,7,6,49
82,3,0,4
294,4,7,15
514,4,5,15
730,5,1,0
149,1,1,0
167,7,7,23
93,3,7,154
352,6,7,17
533,5,5,31
347,6,2,0
696,5,5,99
330,6,5,57
627,2,3,60
476,5,0,0
368,0,0,0
412,5,0,0
132,7,3,0
56,7,7,0
610,2,1,0
332,7,6,6
205,4,4,40
60,3,0,0
247,4,0,0
628,3,3,30
710,2,2,0
429,1,1,7
628,4,7,37
87,2,3,177
512,5,6,0
250,3,0,0
628,5,6,19
160,3,6,955
522,4,4,38
89,5,7,114
308,7,0,0
548,0,2,40
54,7,2,0
665,3,6,172
643,0,7,108
281,7,6,32
612,0,6,18
611,4,0,0
713,1,3,13
304,4,2,0
498,5,6,100
357,0,7,156
234,2,4,26
364,2,4,35
614,2,3,36
87,0,7,376
576,1,5,650
66,1,6,1800
651,5,4,39
439,2,0,0
708,1,2,13
120,6,4,11
223,7,7,0
62,5,1,0
297,4,5,0
333,0,6,396
584,6,1,0
505,7,7,0
643,5,3,0
232,4,0,0
415,2,5,24
9,4,6,14
473,1,0,0
649,6,0,0
272,6,1,0
11,6,4,3
181,0,2,15
368,6,0,0
672,5,2,41
571,3,7,68
621,2,6,64
669,6,0,0
479,4,2,0
408,1,3,188
162,1,6,377
251,6,3,5
60,1,1,34
395,2,7,0
630,0,3,19
331,1,2,20
704,4,6,225
117,0,5,27
453,3,5,66
691,6,3,0
359,1,0,0
260,1,2,36
699,3,0,0
212,6,5,16
308,0,6,132
166,4,4,80
500,0,0,8
347,1,4,6
487,4,5,28
182,0,7,12
87,1,3,168
655,5,0,0
223,6,2,0
639,3,5,49
642,5,0,0
534,0,3,15
233,2,2,8
31,3,2,0
493,5,0,0
67,2,3,147
329,2,4,135
590,6,1,0
384,2,4,119
332,2,5,113
238,1,3,68
327,4,7,67
442,5,0,0
340,7,2,0
382,0,4,79
159,2,6,377
560,0,4,16
519,0,7,252
523,2,4,67
684,5,1,0
86,4,7,209
163,6,0,0
697,6,1,0
178,3,1,0
352,7,4,6
597,7,4,17
672,1,6,897
66,6,7,385
551,3,7,25
235,7,3,0
303,0,7,79
71,1,5,87
444,6,3,0
576,5,0,0
74,6,7,4
72,5,5,12
28,5,4,0
676,5,1,21
371,6,7,0
432,5,3,33
714,5,6,0
679,2,2,12
100,5,7,0
140,5,7,21
146,4,7,18
100,4,1,4
73,3,4,16
664,5,5,153
454,0,2,53
156,3,4,117
537,7,6,9
550,5,7,160
195,0,3,12
169,4,6,7
344,7,4,0
341,7,6,6
72,4,4,26
68,4,0,0
151,2,5,4
189,7,7,19
175,1,7,15
177,7,4,15
28,2,6,3
525,6,2,0
253,5,0,0
696,2,3,182
707,6,5,78
38,4,3,20
492,6,7,8
99,7,1,0
249,5,2,0
699,0,0,43
324,7,4,0
455,3,2,20
281,2,5,65
435,7,1,0
586,0,4,10
523,0,1,85
659,2,3,12
458,0,4,82
506,0,3,114
579,0,2,71
17,1,5,276
525,5,6,357
540,7,0,0
276,1,5,5
589,4,6,132
23,7,6,0
526,7,0,0
694,7,6,21
715,4,5,393
356,7,6,98
504,1,7,257
704,1,7,203
21,4,1,8
451,3,4,45
318,6,5,46
128,5,0,0
87,3,5,442
695,3,4,119
307,3,3,79
561,3,4,10
514,2,2,15
683,4,6,0
115,3,6,50
640,3,6,49
563,4,6,0
576,2,4,230
287,7,4,0
629,6,5,11
258,5,1,0
526,1,3,76
154,6,7,23
705,7,0,0
4,4,0,0
461,1,2,90
498,4,1,14
186,6,7,7
151,1,6,0
635,6,7,0
481,1,5,100
636,5,2,0
328,5,3,0
725,3,0,0
435,1,6,91
287,6,7,9
265,3,6,102
10,7,4,0
420,6,0,0
74,5,4,4
31,4,1,0
250,5,7,5
691,4,7,0
151,1,4,0
394,3,5,0
155,1,3,91
74,5,0,0
676,2,2,33
19,2,5,418
8,6,5,22
15,4,5,87
49,5,2,0
31,2,4,6
407,1,1,23
637,4,3,19
714,0,1,0
86,2,4,202
358,6,3,21
439,6,0,0
554,2,0,0
86,0,1,22
698,7,0,0
130,3,7,48
721,3,6,427
653,6,1,0
261,6,6,31
613,3,1,0
293,6,1,0
54,6,1,0
96,6,2,0
335,2,2,42
674,4,3,173
466,4,3,0
400,5,2,0
526,3,6,875
651,3,7,63
651,6,0,0
446,5,1,0
239,0,2,37
671,0,0,51
190,4,6,15
131,7,7,4
361,6,5,7
585,6,1,0
194,2,2,0
289,4,1,19
656,0,4,0
372,2,2,46
276,2,5,29
313,3,0,0
29,2,3,0
541,7,3,0
715,2,0,0
423,5,6,0
564,7,3,0
637,7,3,0
645,7,3,0
554,3,5,326
279,0,0,0
129,4,2,0
593,2,6,210
79,3,0,0
426,3,6,212
541,4,1,15
383,3,7,35
212,3,1,16
716,1,5,428
145,4,4,18
676,1,2,41
428,3,4,101
463,0,1,0
114,4,2,0
101,3,3,4
257,7,4,5
131,0,6,80
572,3,7,100
570,4,0,0
4,2,3,0
516,4,6,9
110,5,6,0
494,4,1,0
610,0,0,0
366,4,3,120
703,4,5,246
105,4,7,27
498,2,5,173
111,4,1,6
135,2,4,63
70,7,3,0
585,2,2,0
460,2,2,56
658,6,5,12
132,5,1,0
615,4,2,0
657,0,0,0
404,3,2,11
54,0,0,0
482,5,5,45
25,3,2,3
296,7,6,0
671,1,1,0
452,2,7,53
207,7,1,0
179,1,6,12
423,3,0,0
364,2,2,22
380,0,6,244
7,1,2,3
430,0,1,63
190,7,4,0
612,7,5,11
38,2,0,0
718,7,7,13
81,6,4,22
714,3,1,22
256,0,1,31
715,4,0,0
498,3,0,14
646,4,4,213
696,4,5,69
459,3,5,77
22,0,6,177
28,1,0,0
443,7,7,0
716,6,7,22
711,3,2,0
341,6,1,0
551,7,7,31
529,7,7,9
649,2,0,0
660,6,3,0
576,3,1,44
24,6,7,18
423,4,2,0
640,6,5,60
264,3,5,84
221,3,4,5
263,0,2,22
560,6,1,0
351,6,7,0
669,4,7,71
520,2,0,0
588,5,2,0
664,1,2,153
55,5,7,6
442,6,2,0
50,6,2,0
296,2,2,0
94,3,3,47
295,7,2,0
160,1,7,128
297,0,5,0
579,0,6,176
570,0,5,184
439,7,4,13
537,4,1,0
724,7,1,0
419,7,7,0
49,6,4,6
651,0,7,51
152,4,7,51
711,2,0,0
185,7,2,4
181,6,1,0
398,7,1,0
523,6,1,0
301,0,1,6
410,2,4,55
559,6,3,0
243,6,4,17
547,0,0,49
725,0,7,731
106,3,4,17
277,4,4,5
80,6,1,0
461,0,5,27
638,2,7,60
94,7,3,6
24,6,4,3
598,2,2,88
212,5,2,12
384,5,7,30
86,2,7,199
94,4,0,4
391,1,3,11
343,3,2,0
212,7,6,5
477,4,7,13
449,7,5,0
600,0,7,128
390,6,2,0
705,1,7,156
481,2,3,59
180,7,2,0
603,2,4,64
50,2,7,9
615,4,5,64
452,1,0,0
595,1,4,34
687,5,3,0
371,1,0,0
147,2,1,0
396,3,0,0
670,6,4,20
107,2,5,40
474,6,4,8
346,1,5,6
177,7,6,15
690,1,0,0
386,2,2,48
671,4,6,713
449,0,3,53
479,1,2,61
490,2,6,0
291,5,0,0
279,0,6,9
24,4,7,9
243,0,5,14
152,4,5,7
166,7,3,7
628,6,2,0
32,4,0,0
36,0,3,195
75,1,1,0
320,4,1,0
181,0,5,12
492,1,2,100
98,5,3,4
441,5,2,0
596,0,7,274
206,0,1,16
398,4,3,18
41,1,7,670
467,5,4,8
12,1,1,0
701,7,5,35
293,2,1,0
223,0,5,0
518,3,5,67
534,0,4,9
39,6,5,57
41,0,7,378
588,6,6,0
672,4,7,148
439,2,1,0
369,1,3,0
506,5,0,0
374,5,1,0
398,3,4,60
709,1,5,0
631,6,1,0
44,1,5,771
721,7,2,0
81,5,2,0
176,3,2,0
303,6,6,40
432,2,6,288
283,6,5,38
329,3,4,32
81,1,1,0
529,2,5,135
63,7,0,0
36,1,2,52
656,1,4,0
212,2,5,234
126,7,4,0
130,0,3,59
327,2,7,42
269,6,0,0
179,1,0,0
638,6,3,11
436,0,0,0
322,6,6,6
310,6,7,9
526,2,5,670
342,1,7,27
639,6,3,0
311,1,3,79
30,6,5,0
716,2,1,0
187,6,7,19
72,1,0,0
490,0,4,14
399,0,6,96
483,7,4,8
257,4,4,75
371,6,5,0
325,7,5,0
144,5,7,11
12,1,7,114
168,3,0,0
629,1,6,127
559,5,5,26
237,2,2,34
543,3,6,120
547,2,1,0
182,2,7,24
694,3,1,12
61,0,5,237
645,0,7,67
589,7,0,0
595,3,5,264
662,7,2,0
449,1,0,0
134,4,1,4
400,2,0,0
351,4,0,0
569,1,3,74
127,7,6,4
137,4,2,0
615,2,0,0
316,1,4,16
521,0,0,15
80,2,2,6
176,1,5,12
730,1,6,82
220,2,6,29
32,1,3,32
602,2,1,0
391,1,1,0
474,2,1,0
531,5,5,49
353,5,4,17
409,5,2,39
436,7,4,8
608,2,5,11
650,3,4,63
211,7,2,0
625,1,1,0
327,1,1,10
629,2,5,116
186,7,0,0
321,2,1,0
276,5,1,0
250,6,3,0
696,1,4,22
587,5,3,0
552,1,4,42
620,3,2,28
349,3,5,64
348,4,0,0
344,5,2,0
43,0,1,6
196,4,2,0
537,5,6,0
253,0,2,9
354,0,1,27
29,4,2,20
131,1,1,17
65,6,2,3
344,0,7,0
38,4,2,0
339,3,4,44
620,4,7,64
91,2,1,4
606,0,7,46
89,3,0,0
184,0,5,24
81,0,4,73
596,0,5,61
372,3,3,35
54,6,0,0
188,6,2,4
406,4,5,417
245,5,0,0
60,7,6,6
315,4,3,119
323,2,0,0
267,0,4,14
130,2,0,4
388,0,1,0
621,3,4,82
613,6,1,0
225,0,0,5
690,1,4,0
376,6,2,7
170,6,2,0
513,7,3,0
13,3,1,5
167,4,2,0
360,0,3,210
375,6,6,0
616,4,2,0
262,2,5,80
100,6,3,0
587,7,3,0
21,6,5,11
51,0,2,0
94,0,1,19
156,6,0,0
170,7,1,0
204,1,6,25
52,5,4,3
295,0,7,6
360,1,1,7
107,4,0,0
289,3,6,58
650,1,5,102
666,5,7,63
173,6,6,0
716,6,6,13
422,3,6,19
704,2,1,13
548,5,5,80
711,0,0,0
169,1,4,7
417,0,2,0
339,7,4,6
150,7,6,4
613,0,7,36
290,7,0,0
317,4,7,16
568,6,5,32
384,1,2,112
579,3,2,10
603,7,6,36
581,7,0,0
90,4,6,209
81,7,3,4
632,2,5,37
81,2,2,63
522,5,2,0
247,3,5,0
614,0,7,11
351,6,4,6
480,1,0,0
511,3,6,15
501,6,2,0
631,3,0,0
200,1,7,0
6,7,0,0
583,1,7,27
190,1,5,81
211,6,5,12
657,2,3,20
714,1,5,56
17,5,2,5
584,5,2,0
412,4,4,51
90,6,1,0
40,5,2,0
463,7,1,0
678,4,6,12
573,0,7,219
106,2,3,4
125,3,6,0
162,6,7,0
353,3,3,71
640,5,2,0
441,3,1,0
246,2,7,0
368,4,1,0
44,5,6,424
699,4,5,484
180,4,4,4
514,3,7,0
547,1,0,9
156,6,6,7
530,2,1,0
114,3,5,63
145,0,6,7
241,2,0,0
312,1,0,0
510,6,1,0
69,6,2,0
574,4,0,0
226,1,1,0
573,6,0,0
43,1,3,80
660,5,7,0
658,1,1,0
384,0,4,112
703,0,0,35
416,7,3,0
410,1,5,156
532,0,5,49
608,6,6,0
213,3,4,73
521,6,7,0
248,3,6,0
699,4,0,0
44,7,6,9
673,0,1,12
633,7,1,0
393,1,0,0
85,1,6,249
355,7,2,0
187,7,5,15
86,1,6,810
700,2,0,0
200,6,2,0
600,1,7,128
428,5,2,0
1,3,6,3
197,7,0,0
710,5,5,13
32,0,7,49
662,1,1,0
257,0,3,44
206,1,5,56
370,4,2,0
114,7,0,0
429,1,7,94
445,3,7,8
726,0,4,1194
531,2,1,0
87,2,0,0
153,6,6,7
713,6,2,0
437,1,2,25
245,6,2,0
263,0,1,0
670,0,4,172
189,1,1,4
368,0,5,7
528,3,0,0
611,5,1,0
231,4,6,13
723,1,1,0
527,0,7,199
715,5,1,0
549,6,0,0
678,7,6,12
238,6,7,0
674,2,6,354
362,4,7,11
52,1,5,0
68,3,3,64
269,4,1,9
683,2,2,0
691,4,6,0
503,1,6,607
577,5,3,0
368,7,2,0
420,2,4,24
455,4,4,106
202,6,3,0
482,1,2,86
700,2,1,0
437,0,0,8
184,1,0,0
118,1,3,203
296,3,0,0
98,1,3,33
